"species" "location" "dbh" "age"
"spruce" "A" 25 63
"spruce" "C" 23 55
"oak" "D" 30 60
"spruce" "D" 27 65
"beech" "D" 27 52
"beech" "D" 31 48
"spruce" "A" 26 74
"spruce" "A" 31 71
"beech" "B" 29 50
"spruce" "C" 20 40
"birch" "D" 14 29
"oak" "A" 28 67
"beech" "C" 33 65
"oak" "A" 36 94
"beech" "B" 25 50
"spruce" "C" 24 62
"beech" "B" 25 45
"spruce" "A" 19 48
"beech" "D" 42 77
"spruce" "B" 28 75
"spruce" "C" 21 63
"oak" "B" 11 15
"oak" "C" 26 60
"fir" "C" 36 44
"birch" "B" 11 22
"spruce" "C" 22 46
"spruce" "A" 28 94
"spruce" "B" 25 45
"spruce" "C" 22 58
"spruce" "A" 20 40
"beech" "D" 18 23
"fir" "B" 27 30
"spruce" "A" 27 75
"oak" "B" 9 16
"spruce" "B" 26 54
"beech" "A" 24 39
"spruce" "D" 24 56
"oak" "D" 21 48
"spruce" "B" 28 56
"spruce" "A" 27 44
"oak" "D" 37 48
"oak" "C" 23 43
"birch" "C" 12 19
"beech" "B" 33 77
"beech" "C" 21 30
"spruce" "C" 27 49
"spruce" "B" 24 58
"beech" "B" 23 37
"beech" "A" 30 41
"birch" "A" 14 31
"beech" "B" 32 51
"beech" "B" 30 50
"birch" "A" 12 24
"spruce" "B" 21 44
"beech" "B" 33 48
"oak" "D" 37 47
"beech" "C" 27 43
"beech" "B" 30 58
"spruce" "B" 26 80
"spruce" "B" 26 45
"oak" "D" 27 55
"fir" "B" 30 33
"beech" "A" 22 25
"spruce" "B" 19 37
"spruce" "C" 22 63
"spruce" "B" 22 22
"oak" "D" 20 44
"beech" "A" 27 49
"beech" "A" 35 65
"oak" "C" 29 83
"oak" "A" 23 41
"oak" "D" 14 24
"beech" "A" 30 51
"beech" "A" 32 63
"spruce" "B" 23 58
"spruce" "C" 23 35
"fir" "A" 44 63
"beech" "A" 34 56
"beech" "C" 23 38
"beech" "D" 37 70
"spruce" "D" 26 64
"oak" "C" 26 51
"beech" "D" 32 40
"beech" "B" 34 65
"fir" "A" 25 23
"spruce" "B" 21 53
"oak" "D" 26 57
"spruce" "B" 28 71
"fir" "B" 32 39
"oak" "A" 37 63
"oak" "B" 26 66
"beech" "D" 35 61
"spruce" "D" 23 58
"spruce" "B" 25 65
"beech" "A" 42 88
"oak" "A" 24 53
"beech" "C" 29 45
"beech" "A" 36 78
"beech" "A" 38 63
"oak" "B" 29 44
"beech" "D" 21 42
"spruce" "B" 20 41
"beech" "D" 37 63
"spruce" "C" 28 82
"oak" "D" 24 27
"beech" "B" 41 81
"beech" "D" 27 32
"oak" "C" 34 43
"birch" "C" 17 36
"spruce" "D" 27 54
"beech" "B" 37 66
"beech" "D" 36 52
"oak" "D" 17 41
"oak" "B" 38 83
