year;month;mean_daymean_temp;mean_daymax_temp;mean_daymin_temp
1857;1;-1,00;NA;NA
1857;2;0,20;NA;NA
1857;3;3,50;NA;NA
1857;4;7,40;NA;NA
1857;5;13,20;NA;NA
1857;6;17,00;NA;NA
1857;7;18,30;NA;NA
1857;8;19,00;NA;NA
1857;9;15,30;NA;NA
1857;10;11,20;NA;NA
1857;11;3,50;NA;NA
1857;12;2,60;NA;NA
1858;1;-2,30;NA;NA
1858;2;-2,40;NA;NA
1858;3;1,60;NA;NA
1858;4;7,00;NA;NA
1858;5;11,20;NA;NA
1858;6;19,10;NA;NA
1858;7;16,80;NA;NA
1858;8;17,00;NA;NA
1858;9;15,10;NA;NA
1858;10;9,00;NA;NA
1858;11;-1,40;NA;NA
1858;12;1,70;NA;NA
1859;1;1,60;NA;NA
1859;2;3,40;NA;NA
1859;3;6,80;NA;NA
1859;4;7,50;NA;NA
1859;5;12,80;NA;NA
1859;6;17,60;NA;NA
1859;7;19,80;NA;NA
1859;8;18,10;NA;NA
1859;9;13,80;NA;NA
1859;10;10,10;NA;NA
1859;11;2,80;NA;NA
1859;12;-1,20;NA;NA
1860;1;2,60;NA;NA
1860;2;-1,30;NA;NA
1860;3;2,00;NA;NA
1860;4;7,00;NA;NA
1860;5;13,20;NA;NA
1860;6;16,00;NA;NA
1860;7;15,60;NA;NA
1860;8;15,50;NA;NA
1860;9;12,80;NA;NA
1860;10;8,20;NA;NA
1860;11;1,20;NA;NA
1860;12;-1,40;NA;NA
1861;1;-5,50;NA;NA
1861;2;4,20;NA;NA
1861;3;5,60;NA;NA
1861;4;6,20;NA;NA
1861;5;10,70;NA;NA
1861;6;17,90;NA;NA
1861;7;17,70;NA;NA
1861;8;17,40;NA;NA
1861;9;13,30;NA;NA
1861;10;9,80;NA;NA
1861;11;5,00;NA;NA
1861;12;1,40;NA;NA
1862;1;-0,70;NA;NA
1862;2;1,40;NA;NA
1862;3;6,40;NA;NA
1862;4;10,10;NA;NA
1862;5;15,80;NA;NA
1862;6;15,30;NA;NA
1862;7;16,50;NA;NA
1862;8;16,00;NA;NA
1862;9;13,50;NA;NA
1862;10;10,80;NA;NA
1862;11;3,70;NA;NA
1862;12;2,00;NA;NA
1863;1;3,50;NA;NA
1863;2;3,00;NA;NA
1863;3;5,10;NA;NA
1863;4;8,10;NA;NA
1863;5;12,60;NA;NA
1863;6;15,40;NA;NA
1863;7;15,50;NA;NA
1863;8;17,70;NA;NA
1863;9;12,90;NA;NA
1863;10;11,00;NA;NA
1863;11;3,90;NA;NA
1863;12;3,60;NA;NA
1864;1;-5,00;NA;NA
1864;2;-0,40;NA;NA
1864;3;4,60;NA;NA
1864;4;6,00;NA;NA
1864;5;10,50;NA;NA
1864;6;15,40;NA;NA
1864;7;16,00;NA;NA
1864;8;14,00;NA;NA
1864;9;13,20;NA;NA
1864;10;8,10;NA;NA
1864;11;2,60;NA;NA
1864;12;-2,60;NA;NA
1865;1;0,60;NA;NA
1865;2;-4,40;NA;NA
1865;3;-0,60;NA;NA
1865;4;10,40;NA;NA
1865;5;16,80;NA;NA
1865;6;14,20;NA;NA
1865;7;20,20;NA;NA
1865;8;16,50;NA;NA
1865;9;15,10;NA;NA
1865;10;9,60;NA;NA
1865;11;6,30;NA;NA
1865;12;0,90;NA;NA
1866;1;4,40;NA;NA
1866;2;4,40;NA;NA
1866;3;3,10;NA;NA
1866;4;9,10;NA;NA
1866;5;10,00;NA;NA
1866;6;18,00;NA;NA
1866;7;16,20;NA;NA
1866;8;15,80;NA;NA
1866;9;15,30;NA;NA
1866;10;6,80;NA;NA
1866;11;4,90;NA;NA
1866;12;2,90;NA;NA
1867;1;0,10;NA;NA
1867;2;5,20;NA;NA
1867;3;1,80;NA;NA
1867;4;8,40;NA;NA
1867;5;12,00;NA;NA
1867;6;15,90;NA;NA
1867;7;15,80;NA;NA
1867;8;17,20;NA;NA
1867;9;14,40;NA;NA
1867;10;8,40;NA;NA
1867;11;4,10;NA;NA
1867;12;-0,80;NA;NA
1868;1;-0,60;NA;NA
1868;2;4,60;NA;NA
1868;3;4,30;NA;NA
1868;4;7,20;NA;NA
1868;5;16,70;NA;NA
1868;6;16,90;NA;NA
1868;7;19,00;NA;NA
1868;8;18,90;NA;NA
1868;9;14,50;NA;NA
1868;10;8,10;NA;NA
1868;11;2,20;NA;NA
1868;12;5,60;NA;NA
1869;1;-0,20;NA;NA
1869;2;5,60;NA;NA
1869;3;1,50;NA;NA
1869;4;10,80;NA;NA
1869;5;12,60;NA;NA
1869;6;13,20;NA;NA
1869;7;18,40;NA;NA
1869;8;14,80;NA;NA
1869;9;14,30;NA;NA
1869;10;7,40;NA;NA
1869;11;3,60;NA;NA
1869;12;0,00;NA;NA
1870;1;0,40;NA;NA
1870;2;-3,80;NA;NA
1870;3;1,40;NA;NA
1870;4;8,10;NA;NA
1870;5;12,40;NA;NA
1870;6;15,30;NA;NA
1870;7;18,50;NA;NA
1870;8;15,80;NA;NA
1870;9;11,80;NA;NA
1870;10;8,10;NA;NA
1870;11;4,90;NA;NA
1870;12;-5,00;NA;NA
1871;1;-4,80;NA;NA
1871;2;0,10;NA;NA
1871;3;5,40;NA;NA
1871;4;7,00;NA;NA
1871;5;9,50;NA;NA
1871;6;13,10;NA;NA
1871;7;17,80;NA;NA
1871;8;17,20;NA;NA
1871;9;13,70;NA;NA
1871;10;6,70;NA;NA
1871;11;1,00;NA;NA
1871;12;-3,40;NA;NA
1872;1;1,40;NA;NA
1872;2;2,80;NA;NA
1872;3;5,20;NA;NA
1872;4;9,60;NA;NA
1872;5;12,80;NA;NA
1872;6;15,80;NA;NA
1872;7;18,20;NA;NA
1872;8;15,60;NA;NA
1872;9;14,70;NA;NA
1872;10;9,20;NA;NA
1872;11;6,70;NA;NA
1872;12;3,60;NA;NA
1873;1;3,80;NA;NA
1873;2;-0,10;NA;NA
1873;3;4,90;NA;NA
1873;4;6,60;NA;NA
1873;5;9,90;NA;NA
1873;6;16,70;NA;NA
1873;7;18,90;NA;NA
1873;8;17,70;NA;NA
1873;9;12,60;NA;NA
1873;10;9,80;NA;NA
1873;11;4,60;NA;NA
1873;12;1,80;NA;NA
1874;1;2,40;NA;NA
1874;2;0,70;NA;NA
1874;3;4,10;NA;NA
1874;4;9,20;NA;NA
1874;5;9,20;NA;NA
1874;6;15,50;NA;NA
1874;7;19,10;NA;NA
1874;8;15,30;NA;NA
1874;9;15,10;NA;NA
1874;10;9,60;NA;NA
1874;11;1,70;NA;NA
1874;12;-1,10;NA;NA
1875;1;2,40;NA;NA
1875;2;-3,20;NA;NA
1875;3;0,90;NA;NA
1875;4;7,20;NA;NA
1875;5;13,10;NA;NA
1875;6;17,30;NA;NA
1875;7;17,70;NA;NA
1875;8;18,80;NA;NA
1875;9;13,00;NA;NA
1875;10;6,80;NA;NA
1875;11;2,70;NA;NA
1875;12;-1,30;NA;NA
1876;1;-2,60;NA;NA
1876;2;1,40;NA;NA
1876;3;4,10;NA;NA
1876;4;8,30;NA;NA
1876;5;9,20;NA;NA
1876;6;16,40;NA;NA
1876;7;17,80;NA;NA
1876;8;17,30;NA;NA
1876;9;12,40;NA;NA
1876;10;11,00;NA;NA
1876;11;2,50;NA;NA
1876;12;3,20;NA;NA
1877;1;3,70;NA;NA
1877;2;3,50;NA;NA
1877;3;2,20;NA;NA
1877;4;6,70;NA;NA
1877;5;10,10;NA;NA
1877;6;18,10;NA;NA
1877;7;16,90;NA;NA
1877;8;17,10;NA;NA
1877;9;10,30;NA;NA
1877;10;7,60;NA;NA
1877;11;6,40;NA;NA
1877;12;1,20;NA;NA
1878;1;0,40;NA;NA
1878;2;3,20;NA;NA
1878;3;3,60;NA;NA
1878;4;9,40;NA;NA
1878;5;13,20;NA;NA
1878;6;15,50;NA;NA
1878;7;16,10;NA;NA
1878;8;17,20;NA;NA
1878;9;14,30;NA;NA
1878;10;9,80;NA;NA
1878;11;3,90;NA;NA
1878;12;-0,10;NA;NA
1879;1;-2,50;NA;NA
1879;2;0,40;NA;NA
1879;3;2,30;NA;NA
1879;4;6,80;NA;NA
1879;5;10,50;NA;NA
1879;6;16,00;NA;NA
1879;7;15,20;NA;NA
1879;8;17,30;NA;NA
1879;9;14,00;NA;NA
1879;10;8,10;NA;NA
1879;11;1,30;NA;NA
1879;12;-7,70;NA;NA
1880;1;-2,80;NA;NA
1880;2;0,80;NA;NA
1880;3;4,30;NA;NA
1880;4;9,10;NA;NA
1880;5;11,70;NA;NA
1880;6;15,60;NA;NA
1880;7;17,80;NA;NA
1880;8;16,70;NA;NA
1880;9;14,30;NA;NA
1880;10;7,80;NA;NA
