"","id","Feb1","Feb2","Feb3","Feb4","Feb5","Feb6","Feb7","Feb8","Feb9","Feb10","Feb11","Feb12","Feb13","Feb14","Feb15","Feb16","Feb17","Feb18","Feb19","Feb20","Feb21","Feb22","Feb23","Feb24","Feb25","Feb26","Feb27","Feb28","lon","lat"
"1",44,0.4,0.6,0.2,-1.5,-1.4,-1.7,0.6,3.4,5.5,5.4,3.8,1.6,2.4,4.1,1.7,1.4,0.7,1.6,2.1,3.9,3.8,2.2,3.6,4.1,4,6.2,4.9,3.3,8.237,52.9335
"2",71,-2,-2.7,-6.8,-6.1,-4.9,-4.9,-6.2,-4.3,-3,-0.4,-1.9,-2.2,-0.3,1,-2.6,-2.2,-3.6,-2.9,-0.7,2.5,1.7,-0.4,0.3,1,0.6,0,0.5,0.1,8.9784,48.2155
"3",73,-0.9,-0.8,-4.5,-7.1,-2.3,-2.7,-4.2,-1.9,-1.2,1.7,1,-0.1,-0.9,-1.7,-1.3,-3.2,-2.9,-0.5,-1.2,-0.6,1,2.2,3.5,3.6,1.9,1.1,2.1,2.6,13.0506,48.6159
"4",78,0.4,0.8,0.3,-1.6,-1.4,-1.4,-0.5,3.2,5.2,5.2,3.8,1.4,2.3,3.6,0.7,0.9,0.7,0.8,1.7,4.2,3.5,1.8,3.5,3.9,4.2,6.1,4.1,2.8,7.9119,52.485
"5",91,-0.9,0,-0.8,-2.7,-3.2,-3.2,-3.3,0.3,2.1,2.9,1,-0.9,-0.4,0.8,-0.9,-1.1,0.5,1.9,-0.4,5,3.9,1.2,1.7,2.6,2.6,3.6,2.5,1.6,9.345,50.7446
"6",125,-2.6,-2.6,-6.2,-5.7,-5.4,-5.5,-7.4,-5.3,-3.5,-2.6,-4.6,-4.9,-2.6,-3,-4.3,-4.2,-4.3,-3.7,-3,0.3,-0.6,-0.7,-0.6,0.5,-0.2,-2.6,-2.6,-0.7,10.8667,47.8342
"7",131,-0.9,-0.1,-0.6,-3.8,-3.4,-3.6,-3.1,-0.4,1.2,3,2.1,0.2,0.2,0.8,0.9,1.2,0.8,1,0.4,3.2,4.7,1.1,1.5,3.5,2.2,2.4,3.2,2.1,12.9328,51.088
"8",142,-1.2,-1.2,-6.6,-8.1,-3.4,-4.3,-6,-2.9,-2.1,0.2,-1.3,-1.9,-3.1,-3.4,-2,-1.3,-2.5,-2.2,-2.8,-0.3,0.8,0.6,-0.6,2.3,1,0.3,0,0.9,11.3117,48.4059
"9",150,0.7,0.8,-0.6,-1.6,-1.9,-1.7,-1.7,2.2,2.8,3.7,2.5,0.8,-0.6,0.6,-1.3,0.8,1.7,2.6,0.4,5.2,4.9,2.5,2.5,3.8,4.3,5.6,4,3.1,8.116,49.7272
"10",151,-2,-0.5,-2.3,-4.8,-2.8,-2.8,-4.5,-1,0,1.8,0.3,-1.3,-1.6,-2.4,-2.9,-1.5,-1.2,-0.4,-2.1,0.5,1.4,1.7,-0.4,2.7,0.6,-0.5,0.1,1.5,11.8547,49.4689
"11",154,-2.3,-1.1,-6.6,-6.8,-4,-4.1,-5.5,-3.6,-1.8,0.1,-2.4,-1.9,-3.2,-3.3,-3.2,-2.2,-3.1,-2.4,-1.7,-0.5,1.4,0.7,0.4,2.2,1.2,0.8,1.4,0.9,12.2924,48.0197
"12",161,0.4,2.6,1,-0.2,-1.8,0.6,-0.4,3.3,4.5,5.2,3.6,2.3,2.1,3.4,2.2,1.4,3.1,4.2,0.7,6.7,5,3.8,3.6,5.1,3.8,6.1,5,2.1,7.4203,50.4238
"13",164,0.6,0.5,-1.1,-1.3,-4.6,-5.2,-0.4,0.8,3.3,4.6,3.3,2,-0.5,-0.4,0.6,-0.4,0.2,2.6,3.7,2.6,5.6,1.4,1.8,3.5,2.7,2.2,3.3,2.8,13.9907,53.0316
"14",167,-0.9,0,-1.6,-1.5,-4.8,-7.7,1.2,1.4,3.7,3.9,1.6,1,-0.3,-0.3,1.5,-0.2,0.4,3.1,4.3,2.7,5.8,2.6,1.8,3.6,2.5,2,2.7,2.6,13.6846,53.8412
